x,y,rho
-23.75,-23.75,6.5020995750792e-28
-23.75,-23.25,5.9925763469091e-27
-23.75,-22.75,1.7170651827622e-26
-23.75,-22.25,3.4951483921806e-26
-23.75,-21.75,6.0418481806865e-26
-23.75,-21.25,9.498623596336e-26
-23.75,-20.75,1.4050572044037e-25
-23.75,-20.25,1.9935894508816e-25
-23.75,-19.75,2.7458060860637e-25
-23.75,-19.25,3.6999041003148e-25
-23.75,-18.75,4.9030607107543e-25
-23.75,-18.25,6.4121079012812e-25
-23.75,-17.75,8.2929957090554e-25
-23.75,-17.25,1.0616061215788e-24
-23.75,-16.75,1.3447205718599e-24
-23.75,-16.25,1.683106688469e-24
-23.75,-15.75,2.077931624564e-24
-23.75,-15.25,2.522981666528e-24
-23.75,-14.75,2.9938311324474e-24
-23.75,-14.25,3.45053622444e-24
-23.75,-13.75,3.8396317629446e-24
-23.75,-13.25,4.0257611994699e-24
-23.75,-12.75,3.9443539660089e-24
-23.75,-12.25,3.2502733868211e-24
-23.75,-11.75,3.2493161154698e-24
-23.75,-11.25,8.2935290840377e-24
-23.75,-10.75,3.8406162451252e-23
-23.75,-10.25,1.6981486995601e-22
-23.75,-9.75,5.9906227228889e-22
-23.75,-9.25,2.0562953921896e-21
-23.75,-8.75,8.6029074457017e-21
-23.75,-8.25,1.750638126067e-20
-23.75,-7.75,1.8394270411583e-20
-23.75,-7.25,3.7880349894869e-19
-23.75,-6.75,1.780149400831e-18
-23.75,-6.25,4.1155961884444e-18
-23.75,-5.75,2.315824090862e-17
-23.75,-5.25,1.6474723309335e-16
-23.75,-4.75,7.5619290835301e-16
-23.75,-4.25,2.4845740612323e-15
-23.75,-3.75,7.2923618200242e-15
-23.75,-3.25,1.9716574661159e-14
-23.75,-2.75,4.7545977159908e-14
-23.75,-2.25,9.8189459824955e-14
-23.75,-1.75,1.6887807349456e-13
-23.75,-1.25,2.4484070815214e-13
-23.75,-0.75,2.7376854584085e-13
-23.75,-0.25,3.7739873532331e-13
-23.75,0.25,3.7739873533606e-13
-23.75,0.75,2.7376854585443e-13
-23.75,1.25,2.4484070815468e-13
-23.75,1.75,1.688780734937e-13
-23.75,2.25,9.818945982174e-14
-23.75,2.75,4.7545977158609e-14
-23.75,3.25,1.9716574660954e-14
-23.75,3.75,7.2923618209806e-15
-23.75,4.25,2.4845740607015e-15
-23.75,4.75,7.5619290762154e-16
-23.75,5.25,1.6474723298191e-16
-23.75,5.75,2.3158240856703e-17
-23.75,6.25,4.1155961727947e-18
-23.75,6.75,1.7801493888425e-18
-23.75,7.25,3.7880349953503e-19
-23.75,7.75,1.839427181814e-20
-23.75,8.25,1.7506382568503e-20
-23.75,8.75,8.6029064862601e-21
-23.75,9.25,2.0562958079643e-21
-23.75,9.75,5.9906225892745e-22
-23.75,10.25,1.6981485921151e-22
-23.75,10.75,3.8406095153854e-23
-23.75,11.25,8.2935295761361e-24
-23.75,11.75,3.2493094314252e-24
-23.75,12.25,3.2502831151545e-24
-23.75,12.75,3.9443648546908e-24
-23.75,13.25,4.025790724055e-24
-23.75,13.75,3.8396456052603e-24
-23.75,14.25,3.450526822364e-24
-23.75,14.75,2.9938137350858e-24
-23.75,15.25,2.5229981020091e-24
-23.75,15.75,2.0779121533457e-24
-23.75,16.25,1.6831127013129e-24
-23.75,16.75,1.3447150455688e-24
-23.75,17.25,1.0616170258083e-24
-23.75,17.75,8.2929929695638e-25
-23.75,18.25,6.4121570974324e-25
-23.75,18.75,4.9030895268123e-25
-23.75,19.25,3.699855127938e-25
-23.75,19.75,2.7457554088687e-25
-23.75,20.25,1.9935868023209e-25
-23.75,20.75,1.4050559036841e-25
-23.75,21.25,9.498332499568e-26
-23.75,21.75,6.0419314754952e-26
-23.75,22.25,3.4952237483051e-26
-23.75,22.75,1.7169341534979e-26
-23.75,23.25,5.9924884725566e-27
-23.75,23.75,6.5011656503621e-28
-23.25,-23.75,1.0412486641574e-27
-23.25,-23.25,9.9134920524945e-27
-23.25,-22.75,2.9049934912685e-26
-23.25,-22.25,6.0204303596081e-26
-23.25,-21.75,1.0561437029877e-25
-23.25,-21.25,1.6815624362835e-25
-23.25,-20.75,2.5142826239285e-25
-23.25,-20.25,3.6000996795245e-25
-23.25,-19.75,4.99537663106e-25
