x,y,rho
-23.75,-23.75,7.2407034743961e-29
-23.75,-23.25,7.206789493241e-28
-23.75,-22.75,2.2425425226542e-27
-23.75,-22.25,4.9749106182971e-27
-23.75,-21.75,9.4146070997367e-27
-23.75,-21.25,1.6307569603093e-26
-23.75,-20.75,2.6790075470231e-26
-23.75,-20.25,4.2623536819613e-26
-23.75,-19.75,6.6577592520427e-26
-23.75,-19.25,1.0297256553748e-25
-23.75,-18.75,1.5822058781587e-25
-23.75,-18.25,2.4095249959291e-25
-23.75,-17.75,3.612697675719e-25
-23.75,-17.25,5.2900297521415e-25
-23.75,-16.75,7.5160705840514e-25
-23.75,-16.25,1.0332212450616e-24
-23.75,-15.75,1.3748855328525e-24
-23.75,-15.25,1.7737715387959e-24
-23.75,-14.75,2.2342413186858e-24
-23.75,-14.25,2.7850020384022e-24
-23.75,-13.75,3.3893702524595e-24
-23.75,-13.25,4.0389306363191e-24
-23.75,-12.75,5.3583571514051e-24
-23.75,-12.25,6.5361770008959e-24
-23.75,-11.75,6.4239898456747e-24
-23.75,-11.25,1.445630871803e-23
-23.75,-10.75,1.3556595413624e-23
-23.75,-10.25,1.8764009242903e-23
-23.75,-9.75,5.759725664986e-23
-23.75,-9.25,2.1512769647776e-23
-23.75,-8.75,2.3550001057018e-22
-23.75,-8.25,6.8504454043077e-23
-23.75,-7.75,1.330674488157e-21
-23.75,-7.25,8.1460538100124e-22
-23.75,-6.75,1.422064277141e-20
-23.75,-6.25,4.7927116520334e-20
-23.75,-5.75,1.0990513574592e-17
-23.75,-5.25,7.5296710656956e-17
-23.75,-4.75,3.0616717786565e-16
-23.75,-4.25,1.1032887029641e-15
-23.75,-3.75,3.4875497089095e-15
-23.75,-3.25,9.5366948787716e-15
-23.75,-2.75,2.2615669950842e-14
-23.75,-2.25,4.6330195213338e-14
-23.75,-1.75,8.2414437482891e-14
-23.75,-1.25,1.2346437521768e-13
-23.75,-0.75,1.5331634812743e-13
-23.75,-0.25,1.923946296274e-13
-23.75,0.25,1.9239462962754e-13
-23.75,0.75,1.5331634812768e-13
-23.75,1.25,1.234643752177e-13
-23.75,1.75,8.2414437482945e-14
-23.75,2.25,4.6330195213306e-14
-23.75,2.75,2.2615669950872e-14
-23.75,3.25,9.5366948787772e-15
-23.75,3.75,3.4875497089088e-15
-23.75,4.25,1.1032887029637e-15
-23.75,4.75,3.0616717786719e-16
-23.75,5.25,7.5296710657414e-17
-23.75,5.75,1.099051357479e-17
-23.75,6.25,4.7927116477573e-20
-23.75,6.75,1.4220642780808e-20
-23.75,7.25,8.1460538081744e-22
-23.75,7.75,1.3306744885434e-21
-23.75,8.25,6.850445405497e-23
-23.75,8.75,2.3550001098453e-22
-23.75,9.25,2.1512769346655e-23
-23.75,9.75,5.7597257209555e-23
-23.75,10.25,1.8764008829895e-23
-23.75,10.75,1.3556595687297e-23
-23.75,11.25,1.4456308470961e-23
-23.75,11.75,6.4239898070607e-24
-23.75,12.25,6.5361768829322e-24
-23.75,12.75,5.358357188751e-24
-23.75,13.25,4.0389306743746e-24
-23.75,13.75,3.3893702521368e-24
-23.75,14.25,2.785002015268e-24
-23.75,14.75,2.2342413948954e-24
-23.75,15.25,1.7737716057167e-24
-23.75,15.75,1.374885426966e-24
-23.75,16.25,1.033221114012e-24
-23.75,16.75,7.5160691106307e-25
-23.75,17.25,5.2900296506778e-25
-23.75,17.75,3.6126974886622e-25
-23.75,18.25,2.4095250711386e-25
-23.75,18.75,1.582205764216e-25
-23.75,19.25,1.0297257651377e-25
-23.75,19.75,6.6577581273238e-26
-23.75,20.25,4.2623545158375e-26
-23.75,20.75,2.6790066252102e-26
-23.75,21.25,1.6307573242658e-26
-23.75,21.75,9.4145985300819e-27
-23.75,22.25,4.9749113009518e-27
-23.75,22.75,2.2425418109996e-27
-23.75,23.25,7.2067900696966e-28
-23.75,23.75,7.2406985048235e-29
-23.25,-23.75,4.5573968226164e-29
-23.25,-23.25,4.5467296307026e-28
-23.25,-22.75,1.4246497931481e-27
-23.25,-22.25,3.1886779168804e-27
-23.25,-21.75,6.0967120179204e-27
-23.25,-21.25,1.0684030367375e-26
-23.25,-20.75,1.7781931654744e-26
-23.25,-20.25,2.8704947763117e-26
-23.25,-19.75,4.5560868716004e-26
-23.25,-19.25,7.1695415709985e-26
-23.25,-18.75,1.1214590796483e-25
-23.25,-18.25,1.7377282346253e-25
-23.25,-17.75,2.6469631697118e-25
-23.25,-17.25,3.9292159684932e-25
-23.25,-16.75,5.6463245952081e-25
-23.25,-16.25,7.8338525679321e-25
-23.25,-15.75,1.050177513932e-24
-23.25,-15.25,1.362280545061e-24
-23.25,-14.75,1.721849707173e-24
-23.25,-14.25,2.1532112352548e-24
-23.25,-13.75,2.6239133995124e-24
-23.25,-13.25,3.0895695450579e-24
-23.25,-12.75,4.1015193971615e-24
-23.25,-12.25,5.148711077693e-24
-23.25,-11.75,4.5003736638079e-24
-23.25,-11.25,1.0728326859154e-23
-23.25,-10.75,1.1893562694207e-23
-23.25,-10.25,1.018050520755e-23
-23.25,-9.75,5.1262879272607e-23
-23.25,-9.25,6.6891983565549e-24
-23.25,-8.75,2.1233538140286e-22
-23.25,-8.25,2.2023426628039e-23
-23.25,-7.75,1.3106212719307e-21
-23.25,-7.25,5.4102727497966e-22
-23.25,-6.75,1.4293656781213e-20
-23.25,-6.25,4.7804987738404e-20
-23.25,-5.75,1.177744606136e-17
-23.25,-5.25,8.0484652771479e-17
-23.25,-4.75,3.273463118626e-16
-23.25,-4.25,1.17995720784e-15
-23.25,-3.75,3.7280001587215e-15
-23.25,-3.25,1.0200848475215e-14
-23.25,-2.75,2.4172366249432e-14
-23.25,-2.25,4.9563854153322e-14
-23.25,-1.75,8.8118880278017e-14
-23.25,-1.25,1.3415382463136e-13
-23.25,-0.75,1.7357927003721e-13
-23.25,-0.25,2.0746570560798e-13
-23.25,0.25,2.0746570560799e-13
-23.25,0.75,1.7357927003744e-13
-23.25,1.25,1.3415382463149e-13
-23.25,1.75,8.811888027805e-14
-23.25,2.25,4.9563854153255e-14
-23.25,2.75,2.4172366249438e-14
-23.25,3.25,1.0200848475211e-14
-23.25,3.75,3.7280001587146e-15
-23.25,4.25,1.1799572078355e-15
-23.25,4.75,3.2734631186411e-16
-23.25,5.25,8.0484652772408e-17
-23.25,5.75,1.1777446062056e-17
-23.25,6.25,4.780498771372e-20
-23.25,6.75,1.429365678805e-20
-23.25,7.25,5.4102727803914e-22
-23.25,7.75,1.3106212708556e-21
-23.25,8.25,2.202342681509e-23
-23.25,8.75,2.1233538161029e-22
-23.25,9.25,6.6891983840869e-24
-23.25,9.75,5.1262879781899e-23
-23.25,10.25,1.0180505129426e-23
-23.25,10.75,1.1893562925639e-23
-23.25,11.25,1.0728326658777e-23
-23.25,11.75,4.5003736155468e-24
-23.25,12.25,5.1487110618753e-24
-23.25,12.75,4.1015194316686e-24
-23.25,13.25,3.0895697222185e-24
-23.25,13.75,2.6239133437434e-24
-23.25,14.25,2.1532112392178e-24
-23.25,14.75,1.721849619738e-24
-23.25,15.25,1.3622805757475e-24
-23.25,15.75,1.0501773644751e-24
-23.25,16.25,7.833852582436e-25
-23.25,16.75,5.6463236777879e-25
-23.25,17.25,3.9292164956653e-25
-23.25,17.75,2.6469629198181e-25
-23.25,18.25,1.7377284007355e-25
-23.25,18.75,1.1214587497211e-25
-23.25,19.25,7.1695429448015e-26
-23.25,19.75,4.5560855166972e-26
-23.25,20.25,2.870496026247e-26
-23.25,20.75,1.7781929306731e-26
-23.25,21.25,1.0684032577112e-26
-23.25,21.75,6.096706528612e-27
-23.25,22.25,3.1886802100533e-27
-23.25,22.75,1.4246472160934e-27
-23.25,23.25,4.5467233169147e-28
-23.25,23.75,4.557367601744e-29
-22.75,-23.75,4.6240181435508e-29
-22.75,-23.25,4.6168080093404e-28
-22.75,-22.75,1.4495085294802e-27
-22.75,-22.25,3.252482420494e-27
-22.75,-21.75,6.2366137908431e-27
-22.75,-21.25,1.0964530969076e-26
-22.75,-20.75,1.8314534056867e-26
-22.75,-20.25,2.9683110586153e-26
-22.75,-19.75,4.7322565355906e-26
-22.75,-19.25,7.4830227307864e-26
-22.75,-18.75,1.1766049214451e-25
-22.75,-18.25,1.833069548763e-25
-22.75,-17.75,2.8075022479652e-25
-22.75,-17.25,4.1902885322865e-25
-22.75,-16.75,6.0542679154924e-25
-22.75,-16.25,8.4460370482332e-25
-22.75,-15.75,1.1386686869837e-24
-22.75,-15.25,1.4858150875492e-24
-22.75,-14.75,1.8896031400491e-24
-22.75,-14.25,2.3790922817497e-24
-22.75,-13.75,2.9219061559956e-24
-22.75,-13.25,3.4636842541196e-24
-22.75,-12.75,4.6281704167453e-24
-22.75,-12.25,5.9095297391547e-24
-22.75,-11.75,5.1954668385076e-24
-22.75,-11.25,1.2267185279289e-23
-22.75,-10.75,1.4391107273874e-23
-22.75,-10.25,1.1391217049034e-23
-22.75,-9.75,6.1080389687515e-23
-22.75,-9.25,7.3652163142806e-24
-22.75,-8.75,2.5111369993373e-22
-22.75,-8.25,2.0201753813194e-23
-22.75,-7.75,1.5463845085668e-21
-22.75,-7.25,5.4179925534798e-22
-22.75,-6.75,1.6409028114547e-20
-22.75,-6.25,5.3396931535523e-20
-22.75,-5.75,1.33014665171e-17
-22.75,-5.25,9.0864379206307e-17
-22.75,-4.75,3.6958938143234e-16
-22.75,-4.25,1.3322290958359e-15
-22.75,-3.75,4.2088655312064e-15
-22.75,-3.25,1.1517663039694e-14
-22.75,-2.75,2.7289621725021e-14
-22.75,-2.25,5.5963938542268e-14
-22.75,-1.75,9.9490683041411e-14
-22.75,-1.25,1.5191795933109e-13
-22.75,-0.75,1.9818672960535e-13
-22.75,-0.25,2.3463550758773e-13
-22.75,0.25,2.3463550758773e-13
-22.75,0.75,1.9818672960556e-13
-22.75,1.25,1.5191795933138e-13
-22.75,1.75,9.9490683041381e-14
-22.75,2.25,5.596393854214e-14
-22.75,2.75,2.728962172498e-14
-22.75,3.25,1.1517663039685e-14
-22.75,3.75,4.2088655312006e-15
-22.75,4.25,1.3322290958333e-15
-22.75,4.75,3.6958938143111e-16
-22.75,5.25,9.0864379206671e-17
-22.75,5.75,1.3301466517258e-17
-22.75,6.25,5.3396931521572e-20
-22.75,6.75,1.6409028115551e-20
-22.75,7.25,5.4179925784341e-22
-22.75,7.75,1.5463845104264e-21
-22.75,8.25,2.0201754065401e-23
-22.75,8.75,2.5111370045232e-22
-22.75,9.25,7.3652162629705e-24
-22.75,9.75,6.1080390181913e-23
-22.75,10.25,1.1391217216965e-23
-22.75,10.75,1.4391107412602e-23
-22.75,11.25,1.2267185281746e-23
-22.75,11.75,5.1954668220393e-24
-22.75,12.25,5.9095296472731e-24
-22.75,12.75,4.6281705199822e-24
-22.75,13.25,3.4636843998038e-24
-22.75,13.75,2.9219062427507e-24
-22.75,14.25,2.3790922990127e-24
-22.75,14.75,1.8896030646825e-24
-22.75,15.25,1.4858151316243e-24
-22.75,15.75,1.1386685508384e-24
-22.75,16.25,8.4460376573415e-25
-22.75,16.75,6.054268231873e-25
-22.75,17.25,4.1902893687041e-25
-22.75,17.75,2.8075022744669e-25
-22.75,18.25,1.8330700053394e-25
-22.75,18.75,1.1766044975568e-25
-22.75,19.25,7.4830253523738e-26
-22.75,19.75,4.7322543259368e-26
-22.75,20.25,2.968312800335e-26
-22.75,20.75,1.8314534891102e-26
-22.75,21.25,1.096453168128e-26
-22.75,21.75,6.236613804785e-27
-22.75,22.25,3.2524839641328e-27
-22.75,22.75,1.4495079806197e-27
-22.75,23.25,4.6167994149095e-28
-22.75,23.75,4.6239833014676e-29
-22.25,-23.75,4.998761100178e-29
-22.25,-23.25,4.9930550473474e-28
-22.25,-22.75,1.5692993338966e-27
-22.25,-22.25,3.5259609670922e-27
-22.25,-21.75,6.7712822374045e-27
-22.25,-21.25,1.1924817229042e-26
-22.25,-20.75,1.99562239735e-26
-22.25,-20.25,3.2411571401107e-26
-22.25,-19.75,5.1791291492619e-26
-22.25,-19.25,8.2100869572464e-26
-22.25,-18.75,1.2943208865205e-25
-22.25,-18.25,2.0218568786641e-25
-22.25,-17.75,3.1048041015796e-25
-22.25,-17.25,4.6458425802428e-25
-22.25,-16.75,6.7290358404431e-25
-22.25,-16.25,9.41012378737e-25
-22.25,-15.75,1.2717271454909e-24
-22.25,-15.25,1.6635186424723e-24
-22.25,-14.75,2.120847556721e-24
-22.25,-14.25,2.6773752536235e-24
-22.25,-13.75,3.2979657840133e-24
-22.25,-13.25,3.9178957589044e-24
-22.25,-12.75,5.2468932464691e-24
-22.25,-12.25,6.7443095785668e-24
-22.25,-11.75,5.9257157783372e-24
-22.25,-11.25,1.3956648121258e-23
-22.25,-10.75,1.6738024994433e-23
-22.25,-10.25,1.2794339237261e-23
-22.25,-9.75,7.067279702318e-23
-22.25,-9.25,8.236084040035e-24
-22.25,-8.75,2.9036698031089e-22
-22.25,-8.25,2.1744323156173e-23
-22.25,-7.75,1.7938368062389e-21
-22.25,-7.25,6.0036590294524e-22
-22.25,-6.75,1.8948044497452e-20
-22.25,-6.25,6.0914536810539e-20
-22.25,-5.75,1.5213783691721e-17
-22.25,-5.25,1.0392189439936e-16
-22.25,-4.75,4.2270489575924e-16
-22.25,-4.25,1.5236775469261e-15
-22.25,-3.75,4.8135598755143e-15
-22.25,-3.25,1.3173093190326e-14
-22.25,-2.75,3.1210002684928e-14
-22.25,-2.25,6.4008280624531e-14
-22.25,-1.75,1.1378558013476e-13
-22.25,-1.25,1.7399130305031e-13
-22.25,-0.75,2.278873281489e-13
-22.25,-0.25,2.6855618096783e-13
-22.25,0.25,2.6855618096779e-13
-22.25,0.75,2.2788732814899e-13
-22.25,1.25,1.7399130305057e-13
-22.25,1.75,1.1378558013466e-13
-22.25,2.25,6.4008280624524e-14
-22.25,2.75,3.1210002684891e-14
-22.25,3.25,1.3173093190289e-14
-22.25,3.75,4.8135598754873e-15
-22.25,4.25,1.5236775469238e-15
-22.25,4.75,4.2270489575648e-16
-22.25,5.25,1.039218944005e-16
-22.25,5.75,1.5213783691927e-17
-22.25,6.25,6.0914536816188e-20
-22.25,6.75,1.8948044489559e-20
-22.25,7.25,6.0036590610903e-22
-22.25,7.75,1.7938368125142e-21
-22.25,8.25,2.1744323501976e-23
-22.25,8.75,2.9036697970281e-22
-22.25,9.25,8.236083831673e-24
-22.25,9.75,7.0672796970201e-23
-22.25,10.25,1.2794339471124e-23
-22.25,10.75,1.6738024808375e-23
-22.25,11.25,1.3956648309703e-23
-22.25,11.75,5.9257156834911e-24
-22.25,12.25,6.7443095177862e-24
-22.25,12.75,5.2468933155026e-24
-22.25,13.25,3.9178957517172e-24
-22.25,13.75,3.2979658652699e-24
-22.25,14.25,2.677375320973e-24
-22.25,14.75,2.1208475079073e-24
-22.25,15.25,1.6635186795106e-24
-22.25,15.75,1.2717271106851e-24
-22.25,16.25,9.4101245345391e-25
-22.25,16.75,6.7290375585997e-25
-22.25,17.25,4.6458433149291e-25
-22.25,17.75,3.104803944316e-25
-22.25,18.25,2.0218573140082e-25
-22.25,18.75,1.2943206335238e-25
-22.25,19.25,8.2100886357258e-26
-22.25,19.75,5.1791281216312e-26
-22.25,20.25,3.2411577030281e-26
-22.25,20.75,1.9956223809926e-26
-22.25,21.25,1.1924821408813e-26
-22.25,21.75,6.7712843205559e-27
-22.25,22.25,3.5259636708805e-27
-22.25,22.75,1.5693000580222e-27
-22.25,23.25,4.9930610926272e-28
-22.25,23.75,4.998760768169e-29
-21.75,-23.75,5.5578435517979e-29
-21.75,-23.25,5.5530168513242e-28
-21.75,-22.75,1.7465136570122e-27
-21.75,-22.25,3.9275888316166e-27
-21.75,-21.75,7.550199274259e-27
-21.75,-21.25,1.3311659719818e-26
-21.75,-20.75,2.2305298230226e-26
-21.75,-20.25,3.6277509026578e-26
-21.75,-19.75,5.8058087275597e-26
-21.75,-19.25,9.2188796442045e-26
-21.75,-18.75,1.4559123692908e-25
-21.75,-18.25,2.2783371892009e-25
-21.75,-17.75,3.5047996407678e-25
-21.75,-17.25,5.2532673249396e-25
-21.75,-16.75,7.6213114835857e-25
-21.75,-16.25,1.0675081818351e-24
-21.75,-15.75,1.4450125499589e-24
-21.75,-15.25,1.8932841920776e-24
-21.75,-14.75,2.4177638081153e-24
-21.75,-14.25,3.0576142467724e-24
-21.75,-13.75,3.7737070049747e-24
-21.75,-13.25,4.4893578880588e-24
-21.75,-12.75,6.0206975345973e-24
-21.75,-12.25,7.7730437696424e-24
-21.75,-11.75,6.8258729739588e-24
-21.75,-11.25,1.6041804915239e-23
-21.75,-10.75,1.9527193769112e-23
-21.75,-10.25,1.4546613493853e-23
-21.75,-9.75,8.2077141173726e-23
-21.75,-9.25,9.2761479898324e-24
-21.75,-8.75,3.3664014765007e-22
-21.75,-8.25,2.3761481863117e-23
-21.75,-7.75,2.0831398290584e-21
-21.75,-7.25,6.784263962672e-22
-21.75,-6.75,2.1969211208662e-20
-21.75,-6.25,7.0183549225648e-20
-21.75,-5.75,1.7559379470976e-17
-21.75,-5.25,1.199504384638e-16
-21.75,-4.75,4.8789764469604e-16
-21.75,-4.25,1.7586413877849e-15
-21.75,-3.75,5.5557569005239e-15
-21.75,-3.25,1.5204764695249e-14
-21.75,-2.75,3.6021965201993e-14
-21.75,-2.25,7.3880452523026e-14
-21.75,-1.75,1.3133064221798e-13
-21.75,-1.25,2.0099876161086e-13
-21.75,-0.75,2.6392120707871e-13
-21.75,-0.25,3.1011823534427e-13
-21.75,0.25,3.1011823534427e-13
-21.75,0.75,2.6392120707884e-13
-21.75,1.25,2.00998761611e-13
-21.75,1.75,1.3133064221795e-13
-21.75,2.25,7.3880452523016e-14
-21.75,2.75,3.6021965201964e-14
-21.75,3.25,1.5204764695244e-14
-21.75,3.75,5.5557569005029e-15
-21.75,4.25,1.758641387785e-15
-21.75,4.75,4.8789764469273e-16
-21.75,5.25,1.199504384656e-16
-21.75,5.75,1.7559379471118e-17
-21.75,6.25,7.0183549206556e-20
-21.75,6.75,2.1969211209964e-20
-21.75,7.25,6.7842640008365e-22
-21.75,7.75,2.0831398361692e-21
-21.75,8.25,2.3761482340164e-23
-21.75,8.75,3.3664014622019e-22
-21.75,9.25,9.2761479847003e-24
-21.75,9.75,8.2077140402986e-23
-21.75,10.25,1.4546613786761e-23
-21.75,10.75,1.9527193648548e-23
-21.75,11.25,1.6041805089433e-23
-21.75,11.75,6.825872757877e-24
-21.75,12.25,7.7730438661966e-24
-21.75,12.75,6.0206974470861e-24
-21.75,13.25,4.4893578786671e-24
-21.75,13.75,3.7737068749654e-24
-21.75,14.25,3.0576144137547e-24
-21.75,14.75,2.4177637441766e-24
-21.75,15.25,1.8932841239342e-24
-21.75,15.75,1.4450126204451e-24
-21.75,16.25,1.0675082352388e-24
-21.75,16.75,7.6213132426051e-25
-21.75,17.25,5.2532672697884e-25
-21.75,17.75,3.5047988340311e-25
-21.75,18.25,2.2783378069745e-25
-21.75,18.75,1.4559118652714e-25
-21.75,19.25,9.2188839238924e-26
-21.75,19.75,5.8058056308813e-26
-21.75,20.25,3.6277528580711e-26
-21.75,20.75,2.2305281809118e-26
-21.75,21.25,1.3311668552383e-26
-21.75,21.75,7.5501947366108e-27
-21.75,22.25,3.9275910460566e-27
-21.75,22.75,1.7465124957734e-27
-21.75,23.25,5.5530209930745e-28
-21.75,23.75,5.5578532427688e-29
-21.25,-23.75,6.2917236090009e-29
-21.25,-23.25,6.2875665039781e-28
-21.25,-22.75,1.9785852683136e-27
-21.25,-22.25,4.4524386361535e-27
-21.25,-21.75,8.5656898091632e-27
-21.25,-21.25,1.5115079314921e-26
-21.25,-20.75,2.5351429957258e-26
-21.25,-20.25,4.1275612483703e-26
-21.25,-19.75,6.6134097305619e-26
-21.25,-19.25,1.0514522155899e-25
-21.25,-18.75,1.6627332563118e-25
-21.25,-18.25,2.6054877441546e-25
-21.25,-17.75,4.0133459214866e-25
-21.25,-17.25,6.02317890516e-25
-21.25,-16.75,8.7490408059117e-25
-21.25,-16.25,1.2269513799248e-24
-21.25,-15.75,1.6628617673569e-24
-21.25,-15.25,2.1814038454907e-24
-21.25,-14.75,2.7891676182863e-24
-21.25,-14.25,3.5320154154503e-24
-21.25,-13.75,4.3656274682097e-24
-21.25,-13.25,5.1990667841203e-24
-21.25,-12.75,6.9798494059714e-24
-21.25,-12.25,9.0410529791907e-24
-21.25,-11.75,7.9373673445186e-24
-21.25,-11.25,1.8621113893081e-23
-21.25,-10.75,2.292025799745e-23
-21.25,-10.25,1.6751566413507e-23
-21.25,-9.75,9.6011340355747e-23
-21.25,-9.25,1.061594439967e-23
-21.25,-8.75,3.9323215813674e-22
-21.25,-8.25,2.6446811742008e-23
-21.25,-7.75,2.4356772236503e-21
-21.25,-7.25,7.7529058236391e-22
-21.25,-6.75,2.5640005944507e-20
-21.25,-6.25,8.1561671427356e-20
-21.25,-5.75,2.0440066363622e-17
-21.25,-5.25,1.3964478355838e-16
-21.25,-4.75,5.6799546208125e-16
-21.25,-4.25,2.0473130992765e-15
-21.25,-3.75,6.4676345446871e-15
-21.25,-3.25,1.7700846542789e-14
-21.25,-2.75,4.1934126308704e-14
-21.25,-2.25,8.6008922330549e-14
-21.25,-1.75,1.5288643408529e-13
-21.25,-1.25,2.3413884928953e-13
-21.25,-0.75,3.0799021825763e-13
-21.25,-0.25,3.6114635999897e-13
-21.25,0.25,3.6114635999886e-13
-21.25,0.75,3.0799021825792e-13
-21.25,1.25,2.341388492897e-13
-21.25,1.75,1.528864340853e-13
-21.25,2.25,8.6008922330484e-14
-21.25,2.75,4.1934126308686e-14
-21.25,3.25,1.7700846542805e-14
-21.25,3.75,6.4676345446705e-15
-21.25,4.25,2.0473130992785e-15
-21.25,4.75,5.6799546208069e-16
-21.25,5.25,1.3964478356039e-16
-21.25,5.75,2.044006636375e-17
-21.25,6.25,8.1561671462189e-20
-21.25,6.75,2.564000593236e-20
-21.25,7.25,7.7529058693337e-22
-21.25,7.75,2.4356772267959e-21
-21.25,8.25,2.6446812330042e-23
-21.25,8.75,3.9323215570449e-22
-21.25,9.25,1.0615944388505e-23
-21.25,9.75,9.6011339787127e-23
-21.25,10.25,1.675156668757e-23
-21.25,10.75,2.2920258031277e-23
-21.25,11.25,1.8621113716529e-23
-21.25,11.75,7.9373674848976e-24
-21.25,12.25,9.0410528095024e-24
-21.25,12.75,6.9798496264816e-24
-21.25,13.25,5.1990665378193e-24
-21.25,13.75,4.3656276580601e-24
-21.25,14.25,3.5320153788602e-24
-21.25,14.75,2.7891676112963e-24
-21.25,15.25,2.1814036749663e-24
-21.25,15.75,1.6628620262612e-24
-21.25,16.25,1.2269513886082e-24
-21.25,16.75,8.7490419323133e-25
-21.25,17.25,6.0231779592058e-25
-21.25,17.75,4.0133459003431e-25
-21.25,18.25,2.6054874450421e-25
