x,y,rho
-23.75,-23.75,2.5004742218768e-34
-23.75,-23.25,2.6738223481395e-32
-23.75,-22.75,5.9770304046215e-32
-23.75,-22.25,1.7110928862137e-31
-23.75,-21.75,2.451202609827e-31
-23.75,-21.25,4.6227975999477e-31
-23.75,-20.75,5.4699077257833e-31
-23.75,-20.25,8.920713842806e-31
-23.75,-19.75,1.0569628126466e-30
-23.75,-19.25,1.5074838549865e-30
-23.75,-18.75,1.9879149435769e-30
-23.75,-18.25,2.3932918179503e-30
-23.75,-17.75,3.4680466903573e-30
-23.75,-17.25,4.0059987908174e-30
-23.75,-16.75,5.7525319383272e-30
-23.75,-16.25,6.6394848798353e-30
-23.75,-15.75,9.6110960426967e-30
-23.75,-15.25,1.1033700297381e-29
-23.75,-14.75,1.5244268489874e-29
-23.75,-14.25,1.9510957740054e-29
-23.75,-13.75,2.6602479570413e-29
-23.75,-13.25,3.5185053672698e-29
-23.75,-12.75,4.7811228750279e-29
-23.75,-12.25,6.5513687119041e-29
-23.75,-11.75,9.3616301713516e-29
-23.75,-11.25,1.3199549608499e-28
-23.75,-10.75,1.985716288572e-28
-23.75,-10.25,2.9840410187252e-28
-23.75,-9.75,4.8151799791952e-28
-23.75,-9.25,7.8802584153816e-28
-23.75,-8.75,1.4161960339349e-27
-23.75,-8.25,2.5507801489129e-27
-23.75,-7.75,5.4965811275571e-27
-23.75,-7.25,1.25373343091e-26
-23.75,-6.75,1.6536401652803e-26
-23.75,-6.25,1.4831893744251e-25
-23.75,-5.75,1.9118118815267e-25
-23.75,-5.25,7.2858486274498e-25
-23.75,-4.75,1.1669015823654e-23
-23.75,-4.25,2.6731726579352e-23
-23.75,-3.75,8.4412521075257e-23
-23.75,-3.25,4.6643407182536e-22
-23.75,-2.75,1.3607695308621e-21
-23.75,-2.25,2.8217585422108e-21
-23.75,-1.75,5.3727583834937e-21
-23.75,-1.25,8.3113339029342e-21
-23.75,-0.75,9.7784079384867e-21
-23.75,-0.25,1.4153832401628e-20
-23.75,0.25,1.4153898639423e-20
-23.75,0.75,9.7784045441882e-21
-23.75,1.25,8.3113594299211e-21
-23.75,1.75,5.3727671494257e-21
-23.75,2.25,2.8217582736126e-21
-23.75,2.75,1.3607668910069e-21
-23.75,3.25,4.6643688651312e-22
-23.75,3.75,8.4415372285885e-23
-23.75,4.25,2.6732329770856e-23
-23.75,4.75,1.1668456503176e-23
-23.75,5.25,7.2856654425633e-25
-23.75,5.75,1.9114298001793e-25
-23.75,6.25,1.483279680832e-25
-23.75,6.75,1.6516480837247e-26
-23.75,7.25,1.2547305541635e-26
-23.75,7.75,5.4813958291004e-27
-23.75,8.25,2.5556943951613e-27
-23.75,8.75,1.4101689564184e-27
-23.75,9.25,7.9364647634716e-28
-23.75,9.75,4.7844717352649e-28
-23.75,10.25,2.9825346521158e-28
-23.75,10.75,1.9895351867523e-28
-23.75,11.25,1.3116162333386e-28
-23.75,11.75,9.4201398368038e-29
-23.75,12.25,6.4222361448369e-29
-23.75,12.75,4.9543205526108e-29
-23.75,13.25,3.4145876390028e-29
-23.75,13.75,2.748125657773e-29
-23.75,14.25,1.9190695683036e-29
-23.75,14.75,1.5082351714907e-29
-23.75,15.25,1.1744921521236e-29
-23.75,15.75,9.300824232557e-30
-23.75,16.25,6.921361268194e-30
-23.75,16.75,5.2303356491415e-30
-23.75,17.25,4.0620649303452e-30
-23.75,17.75,3.4251383821324e-30
-23.75,18.25,2.5557778036342e-30
-23.75,18.75,1.9635517730936e-30
-23.75,19.25,1.5088515904227e-30
-23.75,19.75,1.0044006742017e-30
-23.75,20.25,8.9390225139245e-31
-23.75,20.75,5.3142884286304e-31
-23.75,21.25,5.1138782781398e-31
-23.75,21.75,1.9524396240554e-31
-23.75,22.25,1.8447080913111e-31
-23.75,22.75,6.3456085855259e-32
-23.75,23.25,3.9987460018846e-32
-23.75,23.75,2.9790750067383e-33
-23.25,-23.75,3.2212274965761e-32
-23.25,-23.25,8.8058432111646e-32
-23.25,-22.75,3.2436779901157e-31
-23.25,-22.25,6.2504904037951e-31
-23.25,-21.75,9.7505771081811e-31
-23.25,-21.25,1.7326413715442e-30
-23.25,-20.75,2.062492718891e-30
-23.25,-20.25,3.4630918197184e-30
-23.25,-19.75,4.1406885285122e-30
-23.25,-19.25,5.8545902110915e-30
-23.25,-18.75,7.6558732632934e-30
-23.25,-18.25,9.5881874169536e-30
-23.25,-17.75,1.3190869026784e-29
-23.25,-17.25,1.6292677522677e-29
-23.25,-16.75,2.1339239264731e-29
-23.25,-16.25,2.6335416587384e-29
-23.25,-15.75,3.6361397320073e-29
-23.25,-15.25,4.4559264003059e-29
-23.25,-14.75,5.927715311148e-29
-23.25,-14.25,7.6393917262538e-29
-23.25,-13.75,1.0370574766174e-28
-23.25,-13.25,1.369083552819e-28
-23.25,-12.75,1.8807608758527e-28
-23.25,-12.25,2.5524283748602e-28
-23.25,-11.75,3.6695517821623e-28
-23.25,-11.25,5.1952119425582e-28
-23.25,-10.75,7.7932179093626e-28
-23.25,-10.25,1.1774953407082e-27
-23.25,-9.75,1.8931065238629e-27
-23.25,-9.25,3.1016384679538e-27
-23.25,-8.75,5.6614643743498e-27
-23.25,-8.25,9.9075473901486e-27
-23.25,-7.75,2.0659427143969e-26
-23.25,-7.25,6.7702457329727e-26
-23.25,-6.75,1.3137605006777e-26
-23.25,-6.25,1.1685421953806e-24
-23.25,-5.75,4.424139655361e-24
-23.25,-5.25,1.6117971824358e-23
-23.25,-4.75,1.9037886315531e-22
-23.25,-4.25,7.4722286497218e-22
-23.25,-3.75,2.5792717671653e-21
-23.25,-3.25,1.0236327410067e-20
-23.25,-2.75,3.0914459757958e-20
-23.25,-2.25,7.1834490348281e-20
-23.25,-1.75,1.4261415471629e-19
-23.25,-1.25,2.477545209787e-19
-23.25,-0.75,3.6579276799559e-19
-23.25,-0.25,4.1938089465256e-19
-23.25,0.25,4.1938118083521e-19
-23.25,0.75,3.6579265962041e-19
-23.25,1.25,2.477547065593e-19
-23.25,1.75,1.4261407108288e-19
-23.25,2.25,7.1834367818543e-20
-23.25,2.75,3.0914389479882e-20
-23.25,3.25,1.0236317962336e-20
-23.25,3.75,2.5792495761172e-21
-23.25,4.25,7.4721766272361e-22
-23.25,4.75,1.9037825644134e-22
-23.25,5.25,1.611696998058e-23
-23.25,5.75,4.4240379322284e-24
-23.25,6.25,1.1685891744308e-24
-23.25,6.75,1.3140439777508e-26
-23.25,7.25,6.771645067247e-26
-23.25,7.75,2.0664330649769e-26
-23.25,8.25,9.8986998026915e-27
-23.25,8.75,5.6650334699506e-27
-23.25,9.25,3.1066395559671e-27
-23.25,9.75,1.8949498331866e-27
-23.25,10.25,1.171693971928e-27
-23.25,10.75,7.8494701487309e-28
-23.25,11.25,5.179170139629e-28
-23.25,11.75,3.6764757148464e-28
-23.25,12.25,2.5501800146372e-28
-23.25,12.75,1.9032389935277e-28
-23.25,13.25,1.3595097173594e-28
-23.25,13.75,1.0471952644006e-28
-23.25,14.25,7.5924186636071e-29
-23.25,14.75,5.8623207232241e-29
-23.25,15.25,4.5169681594029e-29
-23.25,15.75,3.6042272243034e-29
-23.25,16.25,2.635373213215e-29
-23.25,16.75,2.1053430388362e-29
-23.25,17.25,1.6049842071981e-29
-23.25,17.75,1.3160431348508e-29
-23.25,18.25,9.936869221668e-30
-23.25,18.75,7.6213215450969e-30
-23.25,19.25,6.1136440501925e-30
-23.25,19.75,3.9439957001756e-30
-23.25,20.25,3.4809894042836e-30
-23.25,20.75,2.0708116732204e-30
-23.25,21.25,1.8792818419536e-30
-23.25,21.75,8.3820699128369e-31
-23.25,22.25,6.7636139718508e-31
-23.25,22.75,2.9043830628614e-31
-23.25,23.25,1.1678008015401e-31
-23.25,23.75,2.4897452283202e-32
-22.75,-23.75,2.9140139811906e-32
-22.75,-23.25,3.8166553815096e-31
-22.75,-22.75,5.9568958773865e-31
-22.75,-22.25,1.7823194696175e-30
-22.75,-21.75,2.3133103420549e-30
-22.75,-21.25,4.3460009736954e-30
-22.75,-20.75,5.1769939742503e-30
-22.75,-20.25,8.4022614302238e-30
-22.75,-19.75,1.0325559482531e-29
-22.75,-19.25,1.4494097112025e-29
-22.75,-18.75,1.8804256090141e-29
-22.75,-18.25,2.3903406192762e-29
-22.75,-17.75,3.190319683612e-29
-22.75,-17.25,4.0304566862669e-29
-22.75,-16.75,5.2481438400435e-29
-22.75,-16.25,6.5104477288083e-29
-22.75,-15.75,8.9509350861642e-29
-22.75,-15.25,1.1001535467923e-28
-22.75,-14.75,1.4650648208096e-28
-22.75,-14.25,1.8590727137913e-28
-22.75,-13.75,2.5615294831459e-28
-22.75,-13.25,3.3416429975872e-28
-22.75,-12.75,4.6072551144549e-28
-22.75,-12.25,6.2063819652649e-28
-22.75,-11.75,8.9727160853992e-28
-22.75,-11.25,1.2619927528703e-27
-22.75,-10.75,1.8991334535051e-27
-22.75,-10.25,2.8558806043705e-27
-22.75,-9.75,4.6234434392623e-27
-22.75,-9.25,7.4119406230232e-27
-22.75,-8.75,1.4080717084428e-26
-22.75,-8.25,2.8118792717267e-26
-22.75,-7.75,2.3908279061854e-26
-22.75,-7.25,5.4302444464825e-25
-22.75,-6.75,1.1623259467079e-24
-22.75,-6.25,1.965657438993e-23
-22.75,-5.75,1.8245513887631e-22
-22.75,-5.25,9.6911329035074e-22
-22.75,-4.75,6.551296822124e-21
-22.75,-4.25,3.2463975141613e-20
-22.75,-3.75,1.2546939406727e-19
-22.75,-3.25,4.3643655786646e-19
-22.75,-2.75,1.2819306538615e-18
-22.75,-2.25,3.1003198518225e-18
-22.75,-1.75,6.244597678144e-18
-22.75,-1.25,1.058136968186e-17
-22.75,-0.75,1.5019472189399e-17
-22.75,-0.25,1.8055452885044e-17
-22.75,0.25,1.8055452749352e-17
-22.75,0.75,1.5019474395347e-17
-22.75,1.25,1.0581371644489e-17
-22.75,1.75,6.2445979032488e-18
-22.75,2.25,3.1003205116336e-18
-22.75,2.75,1.2819307127405e-18
-22.75,3.25,4.3643688385888e-19
-22.75,3.75,1.2546937056642e-19
-22.75,4.25,3.2463957385415e-20
-22.75,4.75,6.5512801094392e-21
-22.75,5.25,9.69105651164e-22
-22.75,5.75,1.8245388083126e-22
-22.75,6.25,1.965577685655e-23
-22.75,6.75,1.1623267198555e-24
-22.75,7.25,5.4294646559361e-25
-22.75,7.75,2.3915095480555e-26
-22.75,8.25,2.8089153492158e-26
-22.75,8.75,1.4088521484086e-26
-22.75,9.25,7.4158020449255e-27
-22.75,9.75,4.6207589122355e-27
-22.75,10.25,2.8535073192733e-27
-22.75,10.75,1.9016846823082e-27
-22.75,11.25,1.266374739124e-27
-22.75,11.75,8.8875813174222e-28
-22.75,12.25,6.2614948074191e-28
-22.75,12.75,4.599885496799e-28
-22.75,13.25,3.3785826726304e-28
-22.75,13.75,2.5085132289446e-28
-22.75,14.25,1.8946936041738e-28
-22.75,14.75,1.4186210741288e-28
-22.75,15.25,1.1234204264597e-28
-22.75,15.75,8.6750656925528e-29
-22.75,16.25,6.6132894234729e-29
-22.75,16.75,5.185395927858e-29
-22.75,17.25,4.0037731328908e-29
-22.75,17.75,3.250158209538e-29
-22.75,18.25,2.4268149715303e-29
-22.75,18.75,1.8858811982054e-29
-22.75,19.25,1.4552888198101e-29
-22.75,19.75,1.0005272813154e-29
-22.75,20.25,8.4241920528451e-30
-22.75,20.75,5.0952716086235e-30
-22.75,21.25,4.609396910602e-30
-22.75,21.75,2.041775770186e-30
-22.75,22.25,1.8249101306556e-30
-22.75,22.75,5.2884772394855e-31
-22.75,23.25,4.1801499368762e-31
-22.75,23.75,1.5508077490052e-32
-22.25,-23.75,7.5279397533581e-33
-22.25,-23.25,4.8900447441569e-31
-22.25,-22.75,7.3830319014722e-31
-22.25,-22.25,2.3028493939883e-30
-22.25,-21.75,3.0025813139316e-30
-22.25,-21.25,5.699172622605e-30
-22.25,-20.75,6.9794462080024e-30
-22.25,-20.25,1.0657234460957e-29
-22.25,-19.75,1.4194223808906e-29
-22.25,-19.25,1.8669030989891e-29
-22.25,-18.75,2.6028381405697e-29
-22.25,-18.25,3.0380815731481e-29
-22.25,-17.75,4.3902478747475e-29
-22.25,-17.25,5.193206088285e-29
-22.25,-16.75,7.2048206748671e-29
-22.25,-16.25,8.6184302142732e-29
-22.25,-15.75,1.1938159537957e-28
-22.25,-15.25,1.4743535585377e-28
-22.25,-14.75,1.9704496146704e-28
-22.25,-14.25,2.522306973265e-28
-22.25,-13.75,3.4473006111979e-28
-22.25,-13.25,4.5655812239194e-28
-22.25,-12.75,6.2353450956924e-28
-22.25,-12.25,8.5397811056122e-28
-22.25,-11.75,1.2300830237938e-27
-22.25,-11.25,1.7535950046152e-27
-22.25,-10.75,2.6458254830653e-27
-22.25,-10.25,3.9978971355727e-27
-22.25,-9.75,6.6675654834169e-27
-22.25,-9.25,1.0979097813326e-26
-22.25,-8.75,1.4838701890358e-26
-22.25,-8.25,1.1593409055232e-25
-22.25,-7.75,1.4653229971001e-25
-22.25,-7.25,6.1433464376448e-24
-22.25,-6.75,6.5309533980217e-23
-22.25,-6.25,5.6909514900588e-22
-22.25,-5.75,5.3131920019244e-21
-22.25,-5.25,3.5203156523129e-20
-22.25,-4.75,2.048853394744e-19
-22.25,-4.25,1.0244189687336e-18
-22.25,-3.75,4.1650881933886e-18
-22.25,-3.25,1.4268296048331e-17
-22.25,-2.75,4.1234522432099e-17
-22.25,-2.25,9.9778924083241e-17
-22.25,-1.75,2.0219275702415e-16
-22.25,-1.25,3.4332085301679e-16
-22.25,-0.75,4.8929876258955e-16
-22.25,-0.25,5.8327326373893e-16
-22.25,0.25,5.832732582523e-16
-22.25,0.75,4.8929875810848e-16
-22.25,1.25,3.4332085256324e-16
-22.25,1.75,2.0219275372254e-16
-22.25,2.25,9.9778924536191e-17
-22.25,2.75,4.1234521152197e-17
-22.25,3.25,1.4268296887746e-17
-22.25,3.75,4.1650878803418e-18
-22.25,4.25,1.0244187928188e-18
-22.25,4.75,2.0488528700385e-19
-22.25,5.25,3.5203109209913e-20
-22.25,5.75,5.3131861438981e-21
-22.25,6.25,5.6909061904679e-22
-22.25,6.75,6.5309843941032e-23
-22.25,7.25,6.1434051091079e-24
-22.25,7.75,1.4655471083905e-25
-22.25,8.25,1.1593709610895e-25
-22.25,8.75,1.4839826363667e-26
-22.25,9.25,1.1000447845798e-26
-22.25,9.75,6.6574346802895e-27
-22.25,10.25,3.9996483018624e-27
-22.25,10.75,2.6514331407749e-27
-22.25,11.25,1.756138606197e-27
-22.25,11.75,1.2225525011843e-27
-22.25,12.25,8.5558213577419e-28
-22.25,12.75,6.3006291597745e-28
-22.25,13.25,4.5651196543767e-28
-22.25,13.75,3.423262741134e-28
-22.25,14.25,2.5384305439805e-28
-22.25,14.75,1.9366908050141e-28
-22.25,15.25,1.489656027366e-28
-22.25,15.75,1.1759985014331e-28
-22.25,16.25,8.7548036146582e-29
-22.25,16.75,6.9803344111263e-29
-22.25,17.25,5.2807485752556e-29
-22.25,17.75,4.4412551950987e-29
-22.25,18.25,3.1801185307607e-29
-22.25,18.75,2.5803173374444e-29
-22.25,19.25,1.8406856789855e-29
-22.25,19.75,1.4369411776304e-29
-22.25,20.25,1.0508423995546e-29
-22.25,20.75,7.3183790475542e-30
-22.25,21.25,5.5755380221054e-30
-22.25,21.75,3.0206404684875e-30
-22.25,22.25,2.1783636156413e-30
-22.25,22.75,8.4691709678425e-31
-22.25,23.25,4.7977188075319e-31
-22.25,23.75,1.3674940612437e-32
-21.75,-23.75,5.8704464104342e-34
-21.75,-23.25,6.3707711006354e-31
-21.75,-22.75,7.6109973325751e-31
-21.75,-22.25,2.2853780970698e-30
-21.75,-21.75,3.549443265342e-30
-21.75,-21.25,5.3811315933322e-30
-21.75,-20.75,8.5310227775612e-30
-21.75,-20.25,1.0368230444318e-29
-21.75,-19.75,1.6060243503778e-29
-21.75,-19.25,1.98774727214e-29
-21.75,-18.75,2.8317485425348e-29
-21.75,-18.25,3.3439242402077e-29
-21.75,-17.75,4.6740506307939e-29
-21.75,-17.25,5.6943759707614e-29
-21.75,-16.75,7.6339944401644e-29
-21.75,-16.25,9.5171085172443e-29
-21.75,-15.75,1.2642867917106e-28
-21.75,-15.25,1.6190866493244e-28
-21.75,-14.75,2.1395692479447e-28
-21.75,-14.25,2.7692211545143e-28
-21.75,-13.75,3.7551064066917e-28
-21.75,-13.25,5.0006118269854e-28
-21.75,-12.75,6.8357776164337e-28
-21.75,-12.25,9.4663587009954e-28
-21.75,-11.75,1.3600831121473e-27
-21.75,-11.25,1.9580659027857e-27
-21.75,-10.75,2.9664452906043e-27
-21.75,-10.25,4.5169479554483e-27
-21.75,-9.75,6.849988763041e-27
-21.75,-9.25,2.1406305241793e-26
-21.75,-8.75,4.451493149542e-27
-21.75,-8.25,8.1087900636317e-25
-21.75,-7.75,1.0660807842702e-23
-21.75,-7.25,1.3648800948437e-22
-21.75,-6.75,1.7704126241834e-21
-21.75,-6.25,1.6745351304653e-20
-21.75,-5.75,1.4097577191485e-19
-21.75,-5.25,9.8713763211973e-19
-21.75,-4.75,5.7170288945154e-18
-21.75,-4.25,2.8090789405821e-17
-21.75,-3.75,1.1540876314189e-16
-21.75,-3.25,3.9627374936699e-16
-21.75,-2.75,1.1425780150639e-15
-21.75,-2.25,2.7616727395516e-15
-21.75,-1.75,5.594179037366e-15
-21.75,-1.25,9.4980662858864e-15
-21.75,-0.75,1.3514523588995e-14
-21.75,-0.25,1.612647106127e-14
-21.75,0.25,1.6126471006968e-14
-21.75,0.75,1.3514523566673e-14
-21.75,1.25,9.498066258093e-15
-21.75,1.75,5.5941790718808e-15
-21.75,2.25,2.7616727544271e-15
-21.75,2.75,1.1425780275747e-15
-21.75,3.25,3.96273750141e-16
-21.75,3.75,1.1540876212806e-16
-21.75,4.25,2.8090789003325e-17
-21.75,4.75,5.7170290528554e-18
-21.75,5.25,9.8713755573122e-19
-21.75,5.75,1.4097570855483e-19
-21.75,6.25,1.6745324878381e-20
-21.75,6.75,1.7704055828741e-21
-21.75,7.25,1.3648590217335e-22
-21.75,7.75,1.066106233344e-23
-21.75,8.25,8.1080006922305e-25
-21.75,8.75,4.4549991592897e-27
-21.75,9.25,2.1420953088974e-26
-21.75,9.75,6.8353546208034e-27
-21.75,10.25,4.5243289172075e-27
-21.75,10.75,2.9726756463854e-27
-21.75,11.25,1.9610166143392e-27
-21.75,11.75,1.3484193003635e-27
-21.75,12.25,9.4907823663758e-28
-21.75,12.75,6.9185138398134e-28
-21.75,13.25,5.0115033253241e-28
-21.75,13.75,3.7537239145891e-28
-21.75,14.25,2.7646509071726e-28
-21.75,14.75,2.1411483220701e-28
-21.75,15.25,1.5877226665617e-28
-21.75,15.75,1.2964806428849e-28
-21.75,16.25,9.2718949721522e-29
-21.75,16.75,7.7443920895276e-29
-21.75,17.25,5.4673397465227e-29
-21.75,17.75,4.9775787991909e-29
-21.75,18.25,3.2963580480134e-29
-21.75,18.75,2.9037230020331e-29
-21.75,19.25,1.840286134804e-29
-21.75,19.75,1.6763377945917e-29
-21.75,20.25,1.0462051471989e-29
-21.75,20.75,8.1899110203255e-30
-21.75,21.25,5.4040261802703e-30
