x,rho
-19.99023438,5.432197882453e-31
-19.97070312,6.1658151882103e-31
-19.95117188,2.6594942535047e-32
-19.93164062,9.501371200946e-32
-19.91210938,6.701729929181e-31
-19.89257812,1.0488544669801e-31
-19.87304688,1.4431084356619e-31
-19.85351562,3.9846949181276e-31
-19.83398438,5.0707132659751e-31
-19.81445312,5.36950577927e-31
-19.79492188,3.7002569385961e-31
-19.77539062,1.7960325162526e-31
-19.75585938,1.8387869872164e-31
-19.73632812,5.3694148605768e-31
-19.71679688,7.7293351479984e-32
-19.69726562,9.5008728913663e-33
-19.67773438,1.9651590337402e-31
-19.65820312,1.8343297170475e-31
-19.63867188,7.2863035733755e-33
-19.61914062,9.9676238399269e-32
-19.59960938,2.8701649223207e-31
-19.58007812,1.4878591475164e-30
-19.56054688,2.3810126302504e-32
-19.54101562,1.1987324912433e-31
-19.52148438,3.4986062351221e-31
-19.50195312,1.3558246083832e-30
-19.48242188,1.3651293456741e-32
-19.46289062,4.9419938364655e-31
-19.44335938,2.4488946535089e-30
-19.42382812,2.5779703739334e-32
-19.40429688,1.9580218850625e-31
-19.38476562,1.3619871076815e-30
-19.36523438,3.4839654307699e-30
-19.34570312,6.9472722982271e-31
-19.32617188,1.0810217373667e-31
-19.30664062,2.0446481125265e-31
-19.28710938,1.4958599650223e-30
-19.26757812,1.6866134529158e-30
-19.24804688,2.5600222055722e-30
-19.22851562,3.4956145557155e-30
-19.20898438,2.6271437939975e-30
-19.18945312,6.2375566945614e-30
-19.16992188,4.0998635738828e-30
-19.15039062,4.7584203753292e-30
-19.13085938,5.6778594439641e-30
-19.11132812,6.232007969014e-30
-19.09179688,1.0354946825152e-29
-19.07226562,1.2394096462189e-29
-19.05273438,1.3182340467974e-29
-19.03320312,1.0966546029895e-29
-19.01367188,1.735366699554e-29
-18.99414062,2.2784485502892e-29
-18.97460938,2.1630468280215e-29
-18.95507812,2.0831583511487e-29
-18.93554688,3.6104773712399e-29
-18.91601562,3.6686846917638e-29
-18.89648438,5.6185635750095e-29
-18.87695312,5.5347880298411e-29
-18.85742188,7.6571724582055e-29
-18.83789062,6.9805872502112e-29
-18.81835938,9.0970590736464e-29
-18.79882812,1.2409279410535e-28
-18.77929688,1.5104665312247e-28
-18.75976562,1.7821508480952e-28
-18.74023438,2.0254781937618e-28
-18.72070312,2.4480460690858e-28
-18.70117188,3.1876743970457e-28
-18.68164062,3.4701730606992e-28
-18.66210938,3.9423995199601e-28
-18.64257812,5.1359539854325e-28
-18.62304688,6.074148351978e-28
-18.60351562,7.3840014513117e-28
-18.58398438,9.0462527878067e-28
-18.56445312,1.0645288253686e-27
-18.54492188,1.4071870769585e-27
-18.52539062,1.5730971535306e-27
-18.50585938,1.9051679197195e-27
-18.48632812,2.2565285910874e-27
-18.46679688,2.7605407574065e-27
-18.44726562,3.2946827395981e-27
-18.42773438,3.9451163995016e-27
-18.40820312,4.7341927795734e-27
-18.38867188,5.6613731233908e-27
-18.36914062,6.757771938404e-27
-18.34960938,8.1466108421307e-27
-18.33007812,9.8964365041414e-27
-18.31054688,1.1655089958515e-26
-18.29101562,1.3898665274757e-26
-18.27148438,1.6899384729883e-26
-18.25195312,2.0382460935531e-26
-18.23242188,2.4086690410921e-26
-18.21289062,2.8816898701702e-26
-18.19335938,3.4697758683427e-26
-18.17382812,4.0930797501653e-26
-18.15429688,4.9469031098891e-26
-18.13476562,5.8678709332286e-26
-18.11523438,7.0323405134724e-26
-18.09570312,8.4209980267458e-26
-18.07617188,1.0031670723371e-25
-18.05664062,1.1968355664828e-25
-18.03710938,1.4326002833513e-25
-18.01757812,1.7064213309927e-25
-17.99804688,2.0387105112993e-25
-17.97851562,2.4253934693395e-25
-17.95898438,2.9023557744749e-25
-17.93945312,3.4548451134963e-25
-17.91992188,4.1068733453635e-25
-17.90039062,4.9015805297064e-25
-17.88085938,5.8476755239044e-25
-17.86132812,6.9646092949565e-25
-17.84179688,8.2847943309358e-25
-17.82226562,9.8616982957084e-25
-17.80273438,1.1757699499168e-24
-17.78320312,1.3970010016163e-24
-17.76367188,1.6627934477823e-24
-17.74414062,1.9772167889678e-24
-17.72460938,2.3500297180631e-24
-17.70507812,2.7959570026099e-24
-17.68554688,3.3199360001518e-24
-17.66601562,3.9483826860364e-24
-17.64648438,4.6839614595895e-24
-17.62695312,5.5612100823523e-24
-17.60742188,6.5991972732023e-24
-17.58789062,7.8345545203918e-24
-17.56835938,9.2914066003275e-24
-17.54882812,1.1016640421132e-23
-17.52929688,1.3060650636872e-23
-17.50976562,1.5486528125617e-23
-17.49023438,1.8344206949461e-23
-17.47070312,2.1730202894512e-23
-17.45117188,2.5734810876348e-23
-17.43164062,3.0481783778617e-23
-17.41210938,3.6066699210279e-23
-17.39257812,4.2687797736404e-23
-17.37304688,5.0489552848145e-23
-17.35351562,5.9718462768084e-23
-17.33398438,7.0597872217564e-23
-17.31445312,8.3444344731189e-23
-17.29492188,9.8612507970602e-23
-17.27539062,1.1652886070534e-22
-17.25585938,1.3759352570046e-22
-17.23632812,1.6250082720484e-22
-17.21679688,1.9175434244296e-22
-17.19726562,2.2630450068461e-22
-17.17773438,2.6695827524645e-22
-17.15820312,3.1480777706366e-22
-17.13867188,3.7118188093464e-22
-17.11914062,4.3755286712672e-22
-17.09960938,5.1552885512123e-22
-17.08007812,6.0735914090145e-22
-17.06054688,7.15304752704e-22
-17.04101562,8.4228338574214e-22
-17.02148438,9.9130563314853e-22
-17.00195312,1.1665490295236e-21
-16.98242188,1.3723553616685e-21
-16.96289062,1.6140416066946e-21
-16.94335938,1.897588184225e-21
-16.92382812,2.2305323810013e-21
-16.90429688,2.6209735316793e-21
-16.88476562,3.0791294437355e-21
-16.86523438,3.6160473837089e-21
-16.84570312,4.24568981197e-21
-16.82617188,4.9832923020192e-21
-16.80664062,5.8478055847522e-21
-16.78710938,6.859851377994e-21
-16.76757812,8.0452008936746e-21
-16.74804688,9.4327004340192e-21
-16.72851562,1.1056223450216e-20
-16.70898438,1.2955391998643e-20
-16.68945312,1.5177028624534e-20
-16.66992188,1.7774079089379e-20
-16.65039062,2.0810035409051e-20
-16.63085938,2.4357731352539e-20
-16.61132812,2.8501822502507e-20
-16.59179688,3.3342298588349e-20
-16.57226562,3.8993406582055e-20
-16.55273438,4.558933979204e-20
-16.53320312,5.3286844950626e-20
-16.51367188,6.2265918050571e-20
-16.49414062,7.2737871786295e-20
-16.47460938,8.4947729176893e-20
-16.45507812,9.9177909067186e-20
-16.43554688,1.1576000752464e-19
-16.41601562,1.3507594263573e-19
-16.39648438,1.5757253873119e-19
-16.37695312,1.8376282999602e-19
-16.35742188,2.1424703184671e-19
-16.33789062,2.4971747947346e-19
-16.31835938,2.9097926917831e-19
-16.29882812,3.3896348720951e-19
-16.27929688,3.9475045114208e-19
-16.25976562,4.5958855627879e-19
-16.24023438,5.3492822522576e-19
-16.22070312,6.2244067429414e-19
-16.20117188,7.2407007987269e-19
-16.18164062,8.4205229225579e-19
-16.16210938,9.7899150167376e-19
-16.14257812,1.1378754431491e-18
-16.12304688,1.3221756626232e-18
-16.10351562,1.5358950000691e-18
-16.08398438,1.7836600578095e-18
-16.06445312,2.0708143327554e-18
-16.04492188,2.4035226309559e-18
-16.02539062,2.788900939384e-18
-16.00585938,3.2351668238889e-18
-15.98632812,3.7517822554517e-18
-15.96679688,4.349684986425e-18
-15.94726562,5.041452494938e-18
-15.92773438,5.841601244265e-18
-15.90820312,6.7668426480924e-18
-15.88867188,7.8364345595321e-18
-15.86914062,9.0725428386687e-18
-15.84960938,1.0500688642951e-17
-15.83007812,1.2150236763362e-17
-15.81054688,1.40549659543e-17
-15.79101562,1.6253730136763e-17
-15.77148438,1.8791208030564e-17
-15.75195312,2.1718722513639e-17
-15.73242188,2.5095286074223e-17
-15.71289062,2.8988650101074e-17
-15.69335938,3.3476671782517e-17
-15.67382812,3.8648684745626e-17
-15.65429688,4.4607230893733e-17
-15.63476562,5.1469971195238e-17
-15.61523438,5.9371900320027e-17
-15.59570312,6.846774301524e-17
-15.57617188,7.8934945870546e-17
-15.55664062,9.0976810548946e-17
-15.53710938,1.0482635011629e-16
-15.51757812,1.2075031905769e-16
-15.49804688,1.390542448253e-16
-15.47851562,1.6008788479443e-16
-15.45898438,1.8425145438828e-16
-15.43945312,2.1200271386169e-16
-15.41992188,2.4386541545203e-16
-15.40039062,2.8043814424415e-16
-15.38085938,3.2240536880443e-16
-15.36132812,3.7054895193864e-16
-15.34179688,4.2576213081756e-16
-15.32226562,4.8906514537184e-16
-15.30273438,5.6162263506446e-16
-15.28320312,6.4476368579407e-16
-15.26367188,7.4000533322742e-16
-15.24414062,8.4907729329302e-16
-15.22460938,9.7395258476202e-16
-15.20507812,1.11688022156e-15
-15.18554688,1.2804232934791e-15
-15.16601562,1.4675020433991e-15
-15.14648438,1.681442526296e-15
-15.12695312,1.9260321563804e-15
-15.10742188,2.2055821928967e-15
-15.08789062,2.5249984380096e-15
