x,V,rho
-27.99316406,0,2.7578587144645e-17
-27.97949219,0,3.190528389323e-17
-27.96582031,0,3.9597448951542e-17
-27.95214844,0,4.6817409550547e-17
-27.93847656,0,5.3664350185174e-17
-27.92480469,0,6.2604089459076e-17
-27.91113281,0,7.231962015303e-17
-27.89746094,0,8.2841797929068e-17
-27.88378906,0,9.051684438953e-17
-27.87011719,0,1.0115236171689e-16
-27.85644531,0,1.1706843464818e-16
-27.84277344,0,1.2744301271568e-16
-27.82910156,0,1.4647422003024e-16
-27.81542969,0,1.6297184515212e-16
-27.80175781,0,1.7859040583265e-16
-27.78808594,0,1.9246664488431e-16
-27.77441406,0,2.1322672669976e-16
-27.76074219,0,2.305778682268e-16
-27.74707031,0,2.5663792711322e-16
-27.73339844,0,2.785503084959e-16
-27.71972656,0,3.0314382882644e-16
-27.70605469,0,3.3036258311081e-16
-27.69238281,0,3.6167856855371e-16
-27.67871094,0,3.9285666432853e-16
-27.66503906,0,4.2021362917813e-16
-27.65136719,0,4.5778664789735e-16
-27.63769531,0,4.9272120172394e-16
-27.62402344,0,5.2894389257903e-16
-27.61035156,0,5.7337691068539e-16
-27.59667969,0,6.2408719178314e-16
-27.58300781,0,6.655275348399e-16
-27.56933594,0,7.2547144698078e-16
-27.55566406,0,7.8055930448738e-16
-27.54199219,0,8.3735160812121e-16
-27.52832031,0,8.9936344550027e-16
-27.51464844,0,9.590815736926e-16
-27.50097656,0,1.0344975898161e-15
-27.48730469,0,1.1078170471722e-15
-27.47363281,0,1.1986968416615e-15
-27.45996094,0,1.290312216783e-15
-27.44628906,0,1.3819235991988e-15
-27.43261719,0,1.4789006502337e-15
-27.41894531,0,1.5782766775975e-15
-27.40527344,0,1.7038480578171e-15
-27.39160156,0,1.8229101860619e-15
-27.37792969,0,1.9503520394535e-15
-27.36425781,0,2.0877691814619e-15
-27.35058594,0,2.2381402439449e-15
-27.33691406,0,2.4066872000991e-15
-27.32324219,0,2.5816529773735e-15
-27.30957031,0,2.7664444489412e-15
-27.29589844,0,2.9637256044579e-15
-27.28222656,0,3.1598570190076e-15
-27.26855469,0,3.3904457960548e-15
-27.25488281,0,3.6190596445433e-15
-27.24121094,0,3.8911537811267e-15
-27.22753906,0,4.1670557967296e-15
-27.21386719,0,4.4461858638619e-15
-27.20019531,0,4.7917526621857e-15
-27.18652344,0,5.1180546877168e-15
-27.17285156,0,5.4642372462634e-15
-27.15917969,0,5.8349384228256e-15
-27.14550781,0,6.26609065159e-15
-27.13183594,0,6.6906937468138e-15
-27.11816406,0,7.1639318098547e-15
-27.10449219,0,7.6769096980531e-15
-27.09082031,0,8.2258277208284e-15
-27.07714844,0,8.7836540920426e-15
-27.06347656,0,9.3930544665795e-15
-27.04980469,0,1.0063109814314e-14
-27.03613281,0,1.0766921113981e-14
-27.02246094,0,1.1514699723989e-14
-27.00878906,0,1.2302756551671e-14
-26.99511719,0,1.3137703818732e-14
-26.98144531,0,1.4108737016637e-14
-26.96777344,0,1.5056041757007e-14
-26.95410156,0,1.6150189356718e-14
-26.94042969,0,1.7249168472239e-14
-26.92675781,0,1.8434226867917e-14
-26.91308594,0,1.9649934862973e-14
-26.89941406,0,2.1071830467619e-14
-26.88574219,0,2.2509209577306e-14
-26.87207031,0,2.405045801301e-14
-26.85839844,0,2.5749597162483e-14
-26.84472656,0,2.7506086533857e-14
-26.83105469,0,2.9410761130722e-14
-26.81738281,0,3.1465903364375e-14
-26.80371094,0,3.3563071461707e-14
-26.79003906,0,3.5862956714788e-14
-26.77636719,0,3.8351434332e-14
-26.76269531,0,4.0974103968581e-14
-26.74902344,0,4.3768547422858e-14
-26.73535156,0,4.6820240971559e-14
-26.72167969,0,4.9938783168644e-14
-26.70800781,0,5.3442170826368e-14
-26.69433594,0,5.7051522516198e-14
-26.68066406,0,6.0927719833927e-14
-26.66699219,0,6.5080151533125e-14
-26.65332031,0,6.9415894766755e-14
-26.63964844,0,7.4164206473595e-14
-26.62597656,0,7.9198039561284e-14
-26.61230469,0,8.4555243725859e-14
-26.59863281,0,9.0327237790345e-14
-26.58496094,0,9.6474173121294e-14
-26.57128906,0,1.0293581849029e-13
-26.55761719,0,1.0980743839918e-13
-26.54394531,0,1.171528506709e-13
-26.53027344,0,1.2516900133002e-13
-26.51660156,0,1.3352821029295e-13
-26.50292969,0,1.4245720063077e-13
-26.48925781,0,1.5198811314593e-13
