x,rho
-19.99023438,3.4771010049866e-30
-19.97070312,4.3574164991761e-31
-19.95117188,4.6112179546599e-31
-19.93164062,2.955640426216e-31
-19.91210938,1.9740781929969e-31
-19.89257812,5.1338070080072e-32
-19.87304688,4.6950560925515e-31
-19.85351562,1.2033451033774e-31
-19.83398438,6.4598097747178e-31
-19.81445312,2.2095231286983e-31
-19.79492188,2.6378018000814e-31
-19.77539062,1.0315762264624e-32
-19.75585938,2.9529320872317e-30
-19.73632812,4.1673512877894e-31
-19.71679688,2.195680507223e-31
-19.69726562,1.6824201770438e-31
-19.67773438,1.6211635677501e-30
-19.65820312,1.8143463782343e-31
-19.63867188,7.6806086182163e-31
-19.61914062,5.1813834961647e-31
-19.59960938,1.5951514764387e-31
-19.58007812,7.5504277910379e-31
-19.56054688,6.0764594378186e-31
-19.54101562,1.8802267240273e-31
-19.52148438,1.5285940458997e-30
-19.50195312,8.1084659924241e-31
-19.48242188,5.3670721069844e-31
-19.46289062,7.9309343720036e-31
-19.44335938,1.0303860619421e-30
-19.42382812,1.1625148243192e-30
-19.40429688,1.7232559103959e-32
-19.38476562,9.5818023998803e-32
-19.36523438,1.2076551239444e-30
-19.34570312,7.4030941502922e-32
-19.32617188,4.079029344246e-31
-19.30664062,2.6580842498082e-31
-19.28710938,8.4103254185514e-31
-19.26757812,1.5384569137008e-31
-19.24804688,9.549001405515e-32
-19.22851562,5.1232143933131e-31
-19.20898438,8.3818878592163e-31
-19.18945312,1.0640762942739e-31
-19.16992188,2.40945873105e-31
-19.15039062,1.0328401179884e-30
-19.13085938,1.4057483034704e-30
-19.11132812,5.470844748275e-31
-19.09179688,1.3108360683986e-31
-19.07226562,2.1575230201998e-31
-19.05273438,3.2289419223867e-31
-19.03320312,5.1159018780555e-31
-19.01367188,1.1213727101195e-31
-18.99414062,3.0604230522528e-32
-18.97460938,1.0340919724523e-30
-18.95507812,4.9978182983403e-31
-18.93554688,3.6451233463067e-31
-18.91601562,3.7563157079396e-31
-18.89648438,3.2116837845257e-30
-18.87695312,6.4035440323191e-31
-18.85742188,2.1915277207804e-31
-18.83789062,3.4399591450825e-31
-18.81835938,1.3101507081723e-30
-18.79882812,3.7888157757512e-31
-18.77929688,3.3588218230113e-31
-18.75976562,2.5195075717785e-31
-18.74023438,1.0785766283484e-30
-18.72070312,1.5137752939155e-31
-18.70117188,1.1996625146752e-32
-18.68164062,4.9442571333439e-31
-18.66210938,9.7130251852513e-32
-18.64257812,2.0743205896531e-31
-18.62304688,4.5727012365631e-31
-18.60351562,5.0064492480617e-31
-18.58398438,6.2520651282948e-31
-18.56445312,2.2021240970564e-31
-18.54492188,8.5462577044895e-32
-18.52539062,1.350878107965e-32
-18.50585938,7.3312874321802e-31
-18.48632812,4.3843531873241e-31
-18.46679688,3.4873249846523e-31
-18.44726562,7.7000522351744e-32
-18.42773438,1.0073234270162e-31
-18.40820312,7.8007873990624e-32
-18.38867188,1.7544206166249e-32
-18.36914062,7.3740867112959e-31
-18.34960938,1.1499761552173e-30
-18.33007812,2.13553074341e-30
-18.31054688,6.6834659126737e-32
-18.29101562,3.0020207313221e-31
-18.27148438,3.6373180638172e-31
-18.25195312,5.253519352695e-32
-18.23242188,1.8514844765564e-31
-18.21289062,8.2449606348596e-31
-18.19335938,3.6406470638187e-33
-18.17382812,3.844054606285e-32
-18.15429688,3.9299898260985e-31
-18.13476562,7.3986742915332e-32
-18.11523438,3.5242731230873e-31
-18.09570312,1.4567933463187e-30
-18.07617188,2.2119606337841e-31
-18.05664062,3.2046571494942e-31
-18.03710938,7.1032208394201e-32
-18.01757812,3.6645180626997e-31
-17.99804688,6.9208052750708e-31
-17.97851562,7.5765453947222e-32
-17.95898438,1.7005239655408e-30
-17.93945312,1.2976559555394e-31
-17.91992188,2.7157765721511e-31
-17.90039062,3.6986642928002e-31
-17.88085938,9.6769187007714e-32
-17.86132812,1.1742005782299e-30
-17.84179688,1.6622065231238e-30
-17.82226562,1.8941454897476e-30
-17.80273438,1.7712569459705e-30
-17.78320312,3.9762239937468e-30
-17.76367188,4.3172094437127e-30
-17.74414062,3.5481206120813e-30
-17.72460938,4.4313803434615e-30
-17.70507812,3.6663862993814e-30
-17.68554688,4.1915608290435e-30
-17.66601562,9.1568237643179e-30
-17.64648438,1.3982217165856e-29
-17.62695312,9.7310638513613e-30
-17.60742188,1.1544163265188e-29
-17.58789062,1.8493785925329e-29
-17.56835938,1.7708233707567e-29
-17.54882812,2.4499635956561e-29
-17.52929688,2.7074155159325e-29
-17.50976562,3.8200707599463e-29
-17.49023438,3.056810504206e-29
-17.47070312,4.4023640929595e-29
-17.45117188,4.9174952835237e-29
-17.43164062,6.7368141721332e-29
-17.41210938,7.3890625469412e-29
-17.39257812,9.0749969442803e-29
-17.37304688,1.1364092276043e-28
-17.35351562,1.4797878213801e-28
-17.33398438,1.8109194567322e-28
-17.31445312,1.9462646650565e-28
-17.29492188,2.3753275510388e-28
-17.27539062,2.8647265420794e-28
-17.25585938,3.6665570206577e-28
-17.23632812,4.3035454701073e-28
-17.21679688,5.4603514393436e-28
-17.19726562,6.6826923508744e-28
-17.17773438,8.008556450629e-28
-17.15820312,9.5562988744449e-28
-17.13867188,1.2282953452511e-27
-17.11914062,1.4084615174649e-27
-17.09960938,1.7919679991343e-27
-17.08007812,2.1052736241442e-27
-17.06054688,2.7292061463525e-27
-17.04101562,3.2485820383659e-27
-17.02148438,3.8775994248875e-27
-17.00195312,4.5552421610143e-27
-16.98242188,5.8561728948565e-27
-16.96289062,6.8146744040333e-27
-16.94335938,8.4406722966851e-27
-16.92382812,9.9667886216743e-27
-16.90429688,1.2427124258879e-26
-16.88476562,1.4929043419885e-26
-16.86523438,1.7973954021253e-26
-16.84570312,2.1567131473989e-26
-16.82617188,2.6381764704927e-26
-16.80664062,3.1963571521762e-26
-16.78710938,3.8388583305356e-26
-16.76757812,4.6218613031636e-26
-16.74804688,5.5940531312758e-26
-16.72851562,6.7845561241544e-26
-16.70898438,8.1516774903628e-26
-16.68945312,9.8422570573942e-26
