x,rho
-12,2.14638373566e-32
-11.988,2.47864599818e-32
-11.976,2.86193063017e-32
-11.964,3.30400854728e-32
-11.952,3.81382431376e-32
-11.94,4.40167188495e-32
-11.928,5.07939643541e-32
-11.916,5.86062611008e-32
-11.904,6.76103809494e-32
-11.892,7.79866404391e-32
-11.88,8.994240631e-32
-11.868,1.03716118344e-31
-11.856,1.19581905181e-31
-11.844,1.37854879718e-31
-11.832,1.58897213245e-31
-11.82,1.83125101786e-31
-11.808,2.11016754513e-31
-11.796,2.4312155281e-31
-11.784,2.80070549967e-31
-11.772,3.22588505937e-31
-11.76,3.7150767952e-31
-11.748,4.27783632236e-31
-11.736,4.92513334611e-31
-11.724,5.66955907185e-31
-11.712,6.52556376088e-31
-11.7,7.5097287725e-31
-11.688,8.64107805236e-31
-11.676,9.94143473322e-31
-11.664,1.14358293207e-30
-11.652,1.31529668561e-30
-11.64,1.51257614978e-30
-11.628,1.73919481586e-30
-11.616,1.99947822019e-30
-11.604,2.29838397546e-30
-11.592,2.64159329677e-30
-11.58,3.03561565787e-30
-11.568,3.48790844319e-30
-11.556,4.00701372385e-30
-11.544,4.60271458502e-30
-11.532,5.28621377246e-30
-11.52,6.07033781428e-30
-11.508,6.96977021574e-30
-11.496,8.00131782802e-30
-11.484,9.18421506461e-30
-11.472,1.05404712909e-29
-11.46,1.20952674543e-29
-11.448,1.38774088672e-29
-11.436,1.59198420139e-29
-11.424,1.82602443469e-29
-11.412,2.09416972804e-29
-11.4,2.40134540001e-29
-11.388,2.75318153182e-29
-11.376,3.15611286259e-29
-11.364,3.61749270749e-29
-11.352,4.14572284754e-29
-11.34,4.75040160846e-29
-11.328,5.44249264989e-29
-11.316,6.23451733298e-29
-11.304,7.14077392706e-29
-11.292,8.17758736227e-29
-11.28,9.36359374225e-29
-11.268,1.07200644057e-28
-11.256,1.22712749794e-28
-11.244,1.40449256048e-28
-11.232,1.60726193643e-28
-11.22,1.83904068834e-28
-11.208,2.10394061702e-28
